LOC_NAAM,latitude,longitude,area
Pieter,52.348826,4.843666,"[(52.31464322019434, 4.81645911586678), (52.32364098399725, 4.819162782553792), (52.324886885787166, 4.81896966350472), (52.32613275249333, 4.818433221701741), (52.3268015717261, 4.817853864554524), (52.32794247531701, 4.815815385703206), (52.33025042020035, 4.810021814231038), (52.33287293868169, 4.803670343283772), (52.33484628131571, 4.799217876319051), (52.33641964757158, 4.801824983481526), (52.336775286146256, 4.801892038706899), (52.339188472356845, 4.801603701237798), (52.33956948972085, 4.801615771178365), (52.34134097249877, 4.801403876666188), (52.34148681759499, 4.801191982154012), (52.3430140654389, 4.801100787047505), (52.34327297132454, 4.799891110781789), (52.343494187177626, 4.798953678731084), (52.34363674791871, 4.798702892188191), (52.345380212209, 4.799550470236897), (52.34665827205591, 4.800183471564412), (52.34791007947248, 4.797554906729817), (52.34847862427651, 4.798335429553151), (52.3488612000217, 4.799369421128392), (52.348993503283026, 4.799779128555417), (52.34912580614835, 4.8004463280478715), (52.35124587483059, 4.810869392279744), (52.35391957225903, 4.809388812903523), (52.355787132603616, 4.8183754842487225), (52.35629168799791, 4.818203047380738), (52.35649809536259, 4.818867847470916), (52.35816078619363, 4.818728178729383), (52.35891348132431, 4.817220680326635), (52.35860532015082, 4.816562173779384), (52.35844458406795, 4.815528157970048), (52.35970875245677, 4.814752951096555), (52.36018377884892, 4.813529863785764), (52.36503203202976, 4.820643082093259), (52.36400673635697, 4.823936834763547), (52.36404932099588, 4.826989188622495), (52.36566423124025, 4.827032103966733), (52.36571991674756, 4.833801999520322), (52.36979459514234, 4.8343598989954195), (52.36907402021032, 4.841634049843808), (52.369556913804686, 4.849926610672464), (52.36855139057165, 4.850519171503387), (52.3688347197804, 4.851244605361211), (52.365763947052024, 4.852485023349935), (52.36135149133203, 4.853206330213613), (52.35759875031765, 4.858030179446233), (52.355617416738305, 4.854090633115238), (52.348859808744166, 4.858129008143139), (52.3451660130068, 4.854826692971503), (52.33989016911089, 4.856576034832911), (52.34141519362471, 4.861431645525394), (52.33689432412649, 4.861079852886814), (52.33531006173729, 4.851115023138819), (52.33201246127383, 4.868666569486844), (52.330738910378486, 4.8686931842156245), (52.33084218884182, 4.862175208948107), (52.327849119680174, 4.862228438405669), (52.32780983857947, 4.856680800717479), (52.32483298748027, 4.856722886616285), (52.326380721673516, 4.851339057550721), (52.32571213607236, 4.84562263456735), (52.325197399516355, 4.845077926658932), (52.32484003227052, 4.843127741226709), (52.32285313554299, 4.842918089966717), (52.321646538096765, 4.844022282167231), (52.32064288162759, 4.843870709923115), (52.32027726679223, 4.843417709108895), (52.32001001916968, 4.84209567257381), (52.31996081489653, 4.841296959305925), (52.31958696806204, 4.840708043359716), (52.31855726220249, 4.840688925761771), (52.31789472318707, 4.840082062254765), (52.31718580485294, 4.839070814586561), (52.31659492857924, 4.838923238221113), (52.316187684890274, 4.83865764465905), (52.316002816554025, 4.8389579423295), (52.3157654783782, 4.83902220560668), (52.315908540298615, 4.838096733757364), (52.31598601575892, 4.836613362432911), (52.31585894636256, 4.834601486193346), (52.3162885491169, 4.8334740804934695), (52.316957547165046, 4.832946611699347), (52.31742322542654, 4.831871972266146), (52.31739711187168, 4.830534573285905), (52.31626911347821, 4.830874384385364), (52.315770719919996, 4.830699211354004), (52.31487885638959, 4.8310355107990155)]"
Dirk,52.358052,4.88592,"[(52.35913170162285, 4.865575862882796), (52.35978691766017, 4.868794513700667), (52.36087455483265, 4.868107868192855), (52.36336422588708, 4.87795693969554), (52.363838999394055, 4.880077842710913), (52.36330330333332, 4.881588905333061), (52.36660671248447, 4.888163978575366), (52.365446725315785, 4.8903673057547525), (52.36465358706053, 4.895681995391414), (52.36151493253042, 4.895997047424316), (52.36265579506395, 4.90240505981359), (52.35926887057777, 4.904021198271411), (52.358197788368514, 4.899100069044531), (52.35682526388248, 4.899500442503157), (52.353070492696375, 4.902386499403182), (52.35218581430924, 4.902826381681624), (52.35168448869634, 4.899055195806685), (52.3519040241417, 4.898245168684188), (52.35134699178069, 4.894522262571517), (52.350370529880294, 4.894372058866683), (52.34821437317673, 4.895037246702376), (52.347270611924515, 4.894822669981185), (52.34730993571229, 4.893363548277083), (52.34302343695399, 4.8937068710309894), (52.337648340575264, 4.893170429228011), (52.339680466020226, 4.886894060133162), (52.33983778796643, 4.882849288938704), (52.3397722372236, 4.8770771751386555), (52.339313379302375, 4.8770771751386555), (52.33928715870597, 4.881352616308394), (52.33924127262478, 4.882964623926345), (52.33901184150455, 4.884404970167342), (52.336206130381555, 4.884388876913253), (52.33494743577789, 4.884434474466506), (52.33494743577789, 4.883578849790755), (52.33380671285058, 4.882680309770766), (52.33300687807935, 4.882404042242232), (52.33305604866701, 4.885876497088137), (52.328056759201914, 4.885937182067099), (52.32804036715956, 4.879388904033366), (52.3321545792087, 4.879449589012328), (52.33215457920877, 4.869033230302993), (52.33499988210158, 4.869094921110335), (52.33943137179398, 4.86873014068431), (52.339462508649, 4.864140881059829), (52.3397034088389, 4.863113595007125), (52.339687021112454, 4.861016107557479), (52.343419988305314, 4.866192770956221), (52.34392796211304, 4.868107868192855), (52.34634649284222, 4.8672388324720295), (52.34647102065319, 4.868322444914046), (52.350639222889896, 4.866777492521468), (52.35045572540162, 4.864556623457137), (52.35109796327797, 4.867034984586898), (52.352120281872395, 4.870704246519271)]"
Hendrik,52.37258,4.875664,"[(52.39535056340695, 4.89220483398265), (52.389418730289414, 4.895380569456282), (52.388449657513576, 4.890724254606429), (52.38292619130784, 4.890386296270552), (52.38059500426226, 4.8881724680048855), (52.37959984808673, 4.889690430669251), (52.378774951504774, 4.893697483299437), (52.37483875157018, 4.889318274168435), (52.37237143123783, 4.888336470417816), (52.36862003454356, 4.887740904765341), (52.36733811228306, 4.889430581193555), (52.36340939594646, 4.88159305120087), (52.36397311008265, 4.88010327923428), (52.36095138822288, 4.867906589884914), (52.35983478196278, 4.868618687565576), (52.359189908427155, 4.86553277728115), (52.36022238140577, 4.864828668601948), (52.359556121478995, 4.862055149229381), (52.36231204475003, 4.860241745432976), (52.36176991074964, 4.85779510980672), (52.36369121512581, 4.859339601194623), (52.36419445827528, 4.858438263714451), (52.36437012529785, 4.857558383906397), (52.36390302778672, 4.855283841848976), (52.363619368936384, 4.8533955378897), (52.36574007474522, 4.853256034208133), (52.36724488849695, 4.8524728003629924), (52.36677272774265, 4.849667202530217), (52.36547389712587, 4.8502230894481535), (52.36439777743941, 4.850349822923707), (52.36439080136406, 4.847602737753167), (52.36519815146424, 4.847371941993064), (52.365166926573785, 4.848214029838918), (52.3660478572077, 4.848954067957383), (52.36601161336875, 4.848749968502606), (52.3664470529602, 4.847387154753395), (52.367108286928286, 4.8473008209256285), (52.367132792543316, 4.847835250171446), (52.36766545416799, 4.848164658740988), (52.3686566675065, 4.847528472065168), (52.368909660935635, 4.847672305073392), (52.36910120949752, 4.848067259450435), (52.36962841871769, 4.847827199942802), (52.36941176087523, 4.84569751878178), (52.36943092714094, 4.84223746194937), (52.37215240865602, 4.842095301269982), (52.37522741430072, 4.842811447475359), (52.37506318272398, 4.84533808116419), (52.375167494421774, 4.846266118280145), (52.372442194943076, 4.847773512543316), (52.372898766040265, 4.85013382766363), (52.37563567972478, 4.848621047372834), (52.37627075916721, 4.852003309339015), (52.37657834960597, 4.854870587174336), (52.37429853670356, 4.855541132224861), (52.37462359005644, 4.858609348835561), (52.3770326701093, 4.857901130404461), (52.377673300140486, 4.863673128953341), (52.379243920814176, 4.863136571899194), (52.37975414673018, 4.868179067221607), (52.37600101850593, 4.869713261965334), (52.37587626847207, 4.870238946119461), (52.37967250292122, 4.873629027811948), (52.38115591454068, 4.873864140195909), (52.38511296146388, 4.880343896171215), (52.38498365682615, 4.881330488084021), (52.3856255975477, 4.881552105603877), (52.385534126169446, 4.8828680644018085), (52.39021263385432, 4.885512722490493), (52.39102616558063, 4.884775115011397), (52.391657992753366, 4.8824201354963215), (52.39396261209512, 4.886818958280745), (52.39337337428258, 4.887741638181868), (52.39387750045276, 4.887891841886702)]"
IJsbrand,52.406318,4.889575,"[(52.41816156389476, 4.861921862123109), (52.416172309412424, 4.857716158387757), (52.414706485528754, 4.86239393090973), (52.41313590587106, 4.8673935685134895), (52.41088464415357, 4.871781662461854), (52.40855472905372, 4.875005677697755), (52.400084961065126, 4.88900634810042), (52.39763015093919, 4.8906851806162255), (52.396851169402694, 4.895110595163281), (52.38706956076918, 4.896751646425321), (52.38137249357724, 4.901654263849471), (52.384883040068566, 4.909076775782397), (52.390122380925895, 4.918256974208877), (52.396501174227964, 4.922176357725574), (52.39876147039824, 4.920378817030522), (52.399174325837386, 4.9215333928476745), (52.39953480771315, 4.922323188238762), (52.401024266065306, 4.92273149697942), (52.402120925920194, 4.923483128473944), (52.402648081545486, 4.923800242108056), (52.40309668268604, 4.923924236693136), (52.40474312735714, 4.916649164534639), (52.40682499904088, 4.919007665847488), (52.407545897343766, 4.91738392636194), (52.40591803405815, 4.915048398455948), (52.40700174772067, 4.912737686577029), (52.4072556123866, 4.912982443743363), (52.40804616505578, 4.91116726438622), (52.41010317199327, 4.91278199896283), (52.411754331857786, 4.910233945148366), (52.41563038765282, 4.9119345104134915), (52.417339506372, 4.905819252858192), (52.42012940613968, 4.907192901871209), (52.422147830942826, 4.903251584512929), (52.423982971239084, 4.897593653385117), (52.42525183900574, 4.890239791422659), (52.42590532184111, 4.882226861198955), (52.42579763542927, 4.878327606124451), (52.42757109178408, 4.874133984891378), (52.43080379589762, 4.870896583733906), (52.43015172701143, 4.868541654465837), (52.42591670653191, 4.86778000759962), (52.42110968561145, 4.861793518066406)]"
Nico,52.370257,4.909566,"[(52.388168493580615, 4.891582219070583), (52.38862684438344, 4.896238533920436), (52.38688508601306, 4.896560399002223), (52.38107736405871, 4.901895312732845), (52.384792306817644, 4.910020394391208), (52.387059044968666, 4.914764300129204), (52.38889299003868, 4.917522491096347), (52.390478052337535, 4.919293629146009), (52.39654277347567, 4.922429969674735), (52.39713059444788, 4.921851052577435), (52.39699242893356, 4.922226781864478), (52.397129219923265, 4.92264542649576), (52.39518864249933, 4.923633359513073), (52.390862003678905, 4.924708003318696), (52.3912946610719, 4.929032604350536), (52.391399944274966, 4.9322199487600615), (52.38777278491537, 4.93041257993394), (52.38574293578677, 4.94420326759649), (52.383915965548596, 4.94372790105484), (52.38368350838859, 4.952073286631671), (52.38407971135428, 4.954324693326666), (52.383729381114684, 4.9575953394473204), (52.382540817670275, 4.959814559634137), (52.37760608471151, 4.954201729497467), (52.376469753561935, 4.954339555488727), (52.37596546135156, 4.935517879285212), (52.377268867704586, 4.9269529703546455), (52.37428848221769, 4.925692006664062), (52.372874454976014, 4.931217987105296), (52.37156479488634, 4.932253634720323), (52.368918761615085, 4.92803215266616), (52.36844749811686, 4.9287834861256075), (52.36813325406263, 4.928837287773544), (52.367753350925504, 4.928164092677716), (52.36728828161045, 4.927705474303079), (52.36724252298597, 4.925640252095431), (52.36708698551185, 4.925538367519775), (52.36740639623329, 4.924717650928128), (52.36735408674189, 4.923848693941122), (52.36864153424509, 4.919948919501107), (52.367279340668254, 4.9184847483142535), (52.366283450475635, 4.9202575257463055), (52.3660266079433, 4.921187013651829), (52.365580451503526, 4.921582020170203), (52.364715340921926, 4.920202384528634), (52.36426950800406, 4.919305546509745), (52.363901951908694, 4.918324579803479), (52.36338370670797, 4.916614052245163), (52.36284512690762, 4.914512643963858), (52.36174859906922, 4.914996057132552), (52.361396957854346, 4.9134404528471665), (52.36129428629717, 4.911723916020887), (52.360909881752384, 4.911096356054654), (52.36064506681359, 4.910258184973313), (52.360642330463186, 4.909398556219853), (52.36077444924878, 4.9088272841713065), (52.36051426814457, 4.90763642184032), (52.35971026263221, 4.90654211903387), (52.35918988635934, 4.904310598076731), (52.36279444919763, 4.902534327093631), (52.36164839261566, 4.896147663121551), (52.363371741723235, 4.896012049412488), (52.36479589975943, 4.895913290323901), (52.36508150538967, 4.894008372032315), (52.365491583400704, 4.890633603200567), (52.3667244481642, 4.888347261337853), (52.36733211940832, 4.889801983913853), (52.36860796932901, 4.887973682655624), (52.37222838391764, 4.888492931422488), (52.37474813342838, 4.889527164320211), (52.37882423817915, 4.894046136619292), (52.379630922871236, 4.889932694149448), (52.380542377490954, 4.888394172333901), (52.38282590026651, 4.890608577198177)]"
Osdorp,52.36659,4.802086,"[(52.38413775777048, 4.827027013240572), (52.381046757339796, 4.826941182552096), (52.37942258564607, 4.83706920379233), (52.373737514237725, 4.834966351924654), (52.37264691860913, 4.8413553737981285), (52.36922430401493, 4.841757705150362), (52.369261970594806, 4.839373221336123), (52.369509259082704, 4.836988737521883), (52.369966165958125, 4.834067811904665), (52.36574246318864, 4.833743264613863), (52.365712163745606, 4.826966663537737), (52.364086609109016, 4.826809754310366), (52.36403911089535, 4.8239532017095055), (52.36508405980008, 4.820621898113009), (52.360180119908996, 4.813449671207186), (52.359697722337394, 4.814682146249529), (52.35840283965777, 4.815501561103579), (52.358568848440505, 4.816552232666131), (52.358879006256046, 4.817232759384629), (52.358182287092525, 4.8185439824072684), (52.35731519283687, 4.8185248297585215), (52.35651360758757, 4.818666609650668), (52.3563429677739, 4.818051330809672), (52.35583158830474, 4.818165612820726), (52.35394382696047, 4.809253208520081), (52.35183317364604, 4.81049028313179), (52.35128569846105, 4.810765497683738), (52.35025325827975, 4.805644107697722), (52.34964979223484, 4.8025886944441165), (52.348967673429975, 4.79955473886263), (52.348475066770426, 4.7982397020740475), (52.34792728438148, 4.797461484274086), (52.347484358302665, 4.798399880243656), (52.34665092533795, 4.800105010805842), (52.34354375035885, 4.798581589427036), (52.343512480358456, 4.798789269413524), (52.34326088174819, 4.7996977721112355), (52.34288774941091, 4.801032363617983), (52.341365963840744, 4.800955732068237), (52.34129522717151, 4.801289284666259), (52.339126884200006, 4.8015370065758045), (52.33642880332687, 4.801764229493406), (52.33481555834757, 4.7990678445847745), (52.33548574919475, 4.797634683206402), (52.3415246528459, 4.7915344781421165), (52.34217835522055, 4.790171054198131), (52.34495658290586, 4.783298803819767), (52.34873814747346, 4.774264399445078), (52.352938790703135, 4.763513381300859), (52.35546800364234, 4.757460868938201), (52.35701398257366, 4.755226373387691), (52.360433179453565, 4.755927582452264), (52.372523283321144, 4.759061177907702), (52.37523939309756, 4.758362294821259), (52.37999870681272, 4.754659337638136), (52.38109904665308, 4.758098767785546), (52.37635740256593, 4.767714906199094), (52.383574557555825, 4.76823144098204), (52.383934740998434, 4.817584862182107)]"
Victor,52.360495,4.929174,"[(52.350138578218626, 4.984543167599056), (52.35310068010737, 4.991023384579036), (52.356277722693484, 4.985713933438092), (52.357329956714764, 4.986179976452432), (52.35827292323616, 4.98503966101032), (52.35809914099164, 4.982850213749188), (52.35804330088709, 4.974674075966856), (52.36073937403977, 4.974169055967117), (52.361248714324134, 4.968552127937462), (52.36549000755657, 4.9710222512639435), (52.36570762283153, 4.970295995379113), (52.365588774664865, 4.969704879670411), (52.36567301505371, 4.969194230232157), (52.36648852988609, 4.968568245806262), (52.36726472366409, 4.96861817805216), (52.368453607810096, 4.970229155944725), (52.371188439825126, 4.964911161709988), (52.372185703453646, 4.96161648105609), (52.37344712855811, 4.955021617895801), (52.37612327316302, 4.954477818273109), (52.37572017557257, 4.934456280776072), (52.37698069439337, 4.927159142845645), (52.374366762066735, 4.925932996715057), (52.373427580573, 4.92973330453669), (52.37293379238438, 4.931430760490647), (52.37154007843933, 4.932551159153933), (52.3689500779232, 4.92826192458665), (52.368506635363985, 4.928981906530914), (52.36813424257009, 4.929062947765477), (52.36777117029836, 4.928384636366787), (52.36722277805368, 4.927734344421735), (52.36721156515494, 4.9257322191331365), (52.367030779709864, 4.92554503946625), (52.36736097359625, 4.924692671963631), (52.36730075010643, 4.9238677015153165), (52.36859001326695, 4.919974283953965), (52.36730867977348, 4.9185747458123075), (52.366412505784666, 4.920160218822187), (52.36608364072186, 4.921307605598857), (52.36551892841456, 4.921725431523436), (52.36427941514172, 4.919546879121599), (52.363888948683005, 4.918639993133693), (52.363298327048206, 4.916645695895903), (52.36276666258686, 4.914651398658112), (52.36170331447102, 4.915115271147252), (52.36134005978848, 4.913415900560083), (52.36123887875674, 4.9118238183335095), (52.360867243691544, 4.911177980925077), (52.36055457352177, 4.910296109123293), (52.36059898611271, 4.909210389436378), (52.36054511877776, 4.908489450175528), (52.35566510281098, 4.91145520864106), (52.35578707460788, 4.912058323316941), (52.35540902757871, 4.91289632245786), (52.35514792211422, 4.9142487307654825), (52.35466401804145, 4.915107612614404), (52.355911689972196, 4.919016166113259), (52.355015284797076, 4.919704440207617), (52.35406643779111, 4.920263968269301), (52.35346160686075, 4.920045655716665), (52.352411151931705, 4.921393753228687), (52.35406057437227, 4.92519875419839), (52.35193540948974, 4.928102532939089), (52.3502564739691, 4.925201532713208), (52.34757220567875, 4.929233660438355), (52.350811736696635, 4.935114212527272), (52.34904252326585, 4.937954815615102), (52.348138354222314, 4.936332222902111), (52.34680185383927, 4.938537286194391), (52.34779200531328, 4.9401522635034345), (52.34445947800063, 4.945465863302996), (52.350381219089, 4.95545723562449), (52.34855577069376, 4.959495685084292), (52.349609148203086, 4.960377653191879), (52.35194696102389, 4.960658806480169), (52.35353885965683, 4.963242541337314), (52.355314179035965, 4.964742663752442), (52.35708942710302, 4.966049667118497), (52.355973166083075, 4.9735261594089675)]"
